tig00000001	NZ_CP012430.1	99.983	184698	18	11	948105	1132795	2963334	2778643	0.0	3.409e+05
tig00000001	NZ_CP012430.1	99.985	118238	5	5	465208	583433	1117064	998828	0.0	2.182e+05
tig00000001	NZ_CP012430.1	99.917	117844	89	9	1315429	1433266	2567396	2449556	0.0	2.171e+05
tig00000001	NZ_CP012430.1	99.959	108380	33	6	1771654	1880030	2018861	1910490	0.0	1.999e+05
tig00000001	NZ_CP012430.1	99.990	97244	6	4	2000662	2097903	1779140	1681899	0.0	1.795e+05
tig00000001	NZ_CP012430.1	99.964	94385	27	7	2097896	2192274	1680842	1586459	0.0	1.741e+05
tig00000001	NZ_CP012430.1	99.979	71200	10	5	1207031	1278227	2691256	2620059	0.0	1.314e+05
tig00000001	NZ_CP012430.1	99.988	67183	0	4	2206330	2273510	2963316	3030492	0.0	1.240e+05
tig00000001	NZ_CP012430.1	99.976	66571	8	7	392795	459361	1189477	1122911	0.0	1.228e+05
tig00000001	NZ_CP012430.1	99.986	64849	2	7	176591	241436	1410901	1346057	0.0	1.197e+05
tig00000001	NZ_CP012430.1	99.992	62371	5	0	631286	693656	947923	885553	0.0	1.152e+05
tig00000001	NZ_CP012430.1	99.794	61716	121	5	2434326	2496039	363429	425140	0.0	1.133e+05
tig00000001	NZ_CP012430.1	99.988	48793	5	1	2273503	2322294	3031818	3080610	0.0	90069
tig00000001	NZ_CP012430.1	99.960	47879	5	6	583426	631293	997313	949438	0.0	88298
tig00000001	NZ_CP012430.1	99.853	40766	59	1	1455945	1496709	2394783	2354018	0.0	74947
tig00000001	NZ_CP012430.1	99.974	39042	5	3	695167	734204	885533	846493	0.0	72037
tig00000001	NZ_CP012430.1	99.984	37578	3	3	139028	176603	1449988	1412412	0.0	69357
tig00000001	NZ_CP012430.1	99.984	36709	5	1	2324076	2360783	3080609	3117317	0.0	67754
tig00000001	NZ_CP012430.1	99.983	35991	2	4	2383558	2419545	327466	363455	0.0	66426
tig00000001	NZ_CP012430.1	99.733	33704	78	7	105335	139036	1485195	1451502	0.0	61730
tig00000001	NZ_CP012430.1	99.619	32318	88	5	1159418	1191718	2742742	2710443	0.0	58966
tig00000001	NZ_CP012430.1	99.984	31020	5	0	814560	845579	765588	734569	0.0	57256
tig00000001	NZ_CP012430.1	99.980	29394	5	1	251340	280733	1336152	1306760	0.0	54246
tig00000001	NZ_CP012430.1	99.983	29069	3	2	766921	795989	808772	779706	0.0	53651
tig00000001	NZ_CP012430.1	99.972	28605	5	2	1949499	1978101	1854182	1825579	0.0	52776
tig00000001	NZ_CP012430.1	99.975	27873	6	1	1880270	1908141	1910489	1882617	0.0	51432
tig00000001	NZ_CP012430.1	99.380	27570	167	4	2514428	2541996	443619	471185	0.0	49962
tig00000001	NZ_CP012430.1	99.925	26597	13	6	366210	392802	1218416	1191823	0.0	48998
tig00000001	NZ_CP012430.1	99.974	26459	3	4	280726	307180	1305260	1278802	0.0	48819
tig00000001	NZ_CP012430.1	99.584	25507	66	23	308695	334195	1278809	1253337	0.0	46479
tig00000001	NZ_CP012430.1	99.952	24755	11	1	1286814	1311568	2598899	2574146	0.0	45646
tig00000001	NZ_CP012430.1	99.193	24302	187	9	1594360	1618655	2262528	2238230	0.0	43783
tig00000001	NZ_CP012430.1	99.392	23834	140	4	1544504	1568332	2312676	2288843	0.0	43205
tig00000001	NZ_CP012430.1	99.987	22654	0	3	2360913	2383565	303300	325951	0.0	41814
tig00000001	NZ_CP012430.1	99.991	22580	1	1	1978091	2000669	1803219	1780640	0.0	41685
tig00000001	NZ_CP012430.1	99.881	22633	3	1	1433347	1455955	2448015	2425383	0.0	41624
tig00000001	NZ_CP012430.1	99.981	21318	3	1	734190	755506	844728	823411	0.0	39343
tig00000001	NZ_CP012430.1	99.745	20805	42	10	1747445	1768244	2041262	2020464	0.0	38115
tig00000001	NZ_CP012430.1	98.730	21425	229	35	888753	910158	692977	671577	0.0	38018
tig00000001	NZ_CP012430.1	99.956	20593	9	0	71409	92001	1522425	1501833	0.0	37979
tig00000001	NZ_CP012430.1	99.724	19962	44	10	1131203	1151158	2779957	2760001	0.0	36548
tig00000001	NZ_CP012430.1	99.355	19391	120	5	1515596	1534983	2342995	2323607	0.0	35111
tig00000001	NZ_CP012430.1	99.681	17243	41	4	334108	351344	1253549	1236315	0.0	31525
tig00000001	NZ_CP012430.1	99.770	16984	37	2	2497453	2514436	425135	442116	0.0	31146
tig00000001	NZ_CP012430.1	99.506	15984	62	6	1569563	1585532	2287211	2271231	0.0	29063
tig00000001	NZ_CP012430.1	99.968	15632	5	0	1917951	1933582	1869793	1854162	0.0	28840
tig00000001	NZ_CP012430.1	99.941	15330	8	1	1191711	1207040	2708928	2693600	0.0	28258
tig00000001	NZ_CP012430.1	99.987	14881	2	0	351337	366217	1234800	1219920	0.0	27470
tig00000001	NZ_CP012430.1	98.857	15141	170	3	1731247	1746384	2056396	2041256	0.0	26999
tig00000001	NZ_CP012430.1	99.944	14378	6	2	2671724	2686099	615890	630267	0.0	26506
tig00000001	NZ_CP012430.1	99.963	13343	4	1	91994	105336	1500318	1486977	0.0	24611
tig00000001	NZ_CP012430.1	99.992	12866	0	1	845576	858440	733507	720642	0.0	23752
tig00000001	NZ_CP012430.1	98.078	13114	208	32	1718476	1731573	2069278	2056193	0.0	22781
tig00000001	NZ_CP012430.1	99.469	12438	63	3	2193786	2206221	1586469	1574033	0.0	22600
tig00000001	NZ_CP012430.1	99.991	11422	1	0	755499	766920	822085	810664	0.0	21088
tig00000001	NZ_CP012430.1	99.141	11519	98	1	2577207	2588725	509297	520814	0.0	20722
tig00000001	NZ_CP012430.1	99.254	10315	73	4	1640891	1651202	2219091	2208778	0.0	18619
tig00000001	NZ_CP012430.1	99.980	9825	2	0	1908134	1917958	1881117	1871293	0.0	18133
tig00000001	NZ_CP012430.1	99.989	9363	1	0	6447	15809	1544544	1535182	0.0	17285
tig00000001	NZ_CP012430.1	99.826	9205	0	16	2360776	2369980	3121185	3130373	0.0	16896
tig00000001	NZ_CP012430.1	99.978	9142	2	0	803906	813047	774721	765580	0.0	16872
tig00000001	NZ_CP012430.1	99.714	9085	25	1	1504670	1513754	2353822	2344739	0.0	16632
tig00000001	NZ_CP012430.1	99.856	9027	10	3	2647744	2656767	591716	600742	0.0	16595
tig00000001	NZ_CP012430.1	98.233	9170	152	9	2556594	2565758	484150	493314	0.0	16028
tig00000001	NZ_CP012430.1	99.952	8401	2	2	242949	251347	1346066	1337666	0.0	15490
tig00000001	NZ_CP012430.1	99.446	8488	27	2	2739544	2748012	1573890	1565404	0.0	15396
tig00000001	NZ_CP012430.1	98.906	7949	87	0	2566910	2574858	494460	502408	0.0	14198
tig00000001	NZ_CP012430.1	99.462	7430	39	1	2625956	2633385	569913	577341	0.0	13498
tig00000001	NZ_CP012430.1	99.526	7385	28	4	1585608	1592991	2271277	2263899	0.0	13437
tig00000001	NZ_CP012430.1	99.970	6761	2	0	1151143	1157903	2749495	2742735	0.0	12475
tig00000001	NZ_CP012430.1	98.649	6883	71	5	2633481	2640344	577314	584193	0.0	12176
